run_id,stage,model,langs,lr,epochs,bs,dev_f1,test_f1,hi_te_avg,en_f1,hi_f1,te_f1,notes
1,stage1,mbert,EN+HI+TE,3e-5,3,32,0.8162,0.7693,0.7332,0.8125,0.6887,0.7777,full HI/TE data — initial baseline
2,stage1,gpt-4o,EN+HI+TE,0,0,0,0,0.7625,0.7470,0.8132,0.6471,0.6468,zero-shot baseline
sweep_run1,stage1,mbert,EN+HI+TE,1e-5,3,32,0.8261,0.7604,0.7130,0.8107,0.6689,0.7570,sweep
sweep_run2,stage1,mbert,EN+HI+TE,1e-5,5,32,0.8358,0.7674,0.7360,0.8071,0.6827,0.7892,sweep
sweep_run3,stage1,mbert,EN+HI+TE,1e-5,7,32,0.8317,0.7674,0.7494,0.8025,0.6686,0.8301,sweep — BEST HI+TE avg
sweep_run4,stage1,mbert,EN+HI+TE,2e-5,3,32,0.8355,0.7648,0.7357,0.8066,0.6689,0.8024,sweep
sweep_run5,stage1,mbert,EN+HI+TE,2e-5,5,32,0.8090,0.7313,0.6610,0.7940,0.6400,0.6820,sweep
sweep_run6,stage1,mbert,EN+HI+TE,2e-5,7,32,0.8214,0.7510,0.7270,0.7827,0.6632,0.7908,sweep
sweep_run7,stage1,mbert,EN+HI+TE,3e-5,3,32,0.8413,0.7680,0.7339,0.8098,0.6826,0.7851,sweep
sweep_run8,stage1,mbert,EN+HI+TE,3e-5,5,32,0.8170,0.7742,0.7312,0.8220,0.6887,0.7736,sweep — best overall test F1
sweep_run9,stage1,mbert,EN+HI+TE,3e-5,7,32,0.8125,0.7487,0.7137,0.7896,0.6743,0.7530,sweep
sweep_run10,stage1,mbert,EN+HI+TE,5e-5,3,32,0.8479,0.7421,0.6985,0.7866,0.6686,0.7283,sweep — best dev F1 but overfit
sweep_run11,stage1,mbert,EN+HI+TE,5e-5,5,32,0.8217,0.7516,0.6780,0.8045,0.7164,0.6396,sweep
sweep_run12,stage1,mbert,EN+HI+TE,5e-5,7,32,0.7966,0.7536,0.6961,0.8058,0.6793,0.7129,sweep
abl_mbert_hi_te,stage1,mbert,HI+TE,1e-5,7,32,0.7972,0.7003,0.7155,,0.6552,0.7758,ablation
abl_mbert_en_te,stage1,mbert,EN+TE,1e-5,3,32,0.8478,0.7931,,0.8139,,0.7280,ablation
abl_mbert_en_hi,stage1,mbert,EN+HI,1e-5,2,32,0.8412,0.7393,,0.7873,0.6544,,ablation
abl_mbert_en,stage1,mbert,EN,1e-5,4,32,0.8554,0.7848,,0.7848,,,ablation
abl_bert_en_mono,stage1,bert-mono,EN,1e-5,6,32,0.8550,0.8087,,0.8087,,,ablation — monolingual BERT
abl_mbert_hi,stage1,mbert,HI,1e-5,7,32,0.8056,0.6689,,,0.6689,,ablation
abl_mbert_te,stage1,mbert,TE,1e-5,7,32,0.8475,0.7015,,,,0.7015,ablation
